group_1,group_2,n1,n2,mean_1,mean_2,std_1,std_2,mean_diff,t_welch,p_welch,t_pooled,p_pooled,alpha,reject_H0_welch
Male,Female,2736,3303,124.7414717348928,120.34221414875367,16.51930245525332,18.687032506819275,4.399257586139129,9.705376761167273,4.152830707026896e-22,9.59420551334621,1.2059188978423524e-21,0.05,True
Young_15_30,Old_30_80,958,5081,111.70842032011133,124.33897526733584,11.32015629506121,18.1700293935457,-12.63055494722451,-28.332067845711837,5.312703398601639e-149,-20.768065046393374,1.3633587040172923e-92,0.05,True
