,count,mean,std,min,25%,50%,75%,max,median,iqr,skew
RIDAGEYR,6039.0,52.33002152674284,18.17031085601929,18.0,37.0,56.0,67.0,80.0,56.0,30.0,-0.2894909331303988
BMXWT,6039.0,82.66333333333333,22.00149882650693,27.9,67.0,79.4,94.9,248.2,79.4,27.900000000000006,1.0209483093643121
BMXHT,6039.0,167.02311641000162,10.014553776298982,133.0,159.7,166.6,174.3,200.7,166.6,14.600000000000023,0.13633406353276187
BMXBMI,6039.0,29.561533366451396,7.187651281021258,11.1,24.5,28.3,33.3,68.9,28.3,8.799999999999997,1.0914041709701356
BPXSY,6039.0,122.33532041728763,17.871054434670356,74.66666666666667,110.16666666666666,120.0,132.0,215.0,120.0,21.833333333333343,0.9217213344673618
