group,n,mean,std,se,z,lower,upper,conf
All,6039,122.33532041728763,17.871054434670356,0.22996813483193201,1.959963984540054,121.8845911554252,122.78604967915007,0.95
Male,2736,124.7414717348928,16.51930245525332,0.3158156579834761,1.959963984540054,124.12248441949137,125.36045905029422,0.95
Female,3303,120.34221414875367,18.687032506819275,0.3251517188944357,1.959963984540054,119.70492849020928,120.97949980729805,0.95
Young_15_30,958,111.70842032011133,11.32015629506121,0.36573764874342,1.959963984540054,110.99158770078387,112.42525293943879,0.95
Old_30_80,5081,124.33897526733584,18.1700293935457,0.2549065718926817,1.959963984540054,123.83936756700362,124.83858296766806,0.95
